,blue_win,TOP_T1,JG_T1,MID_T1,ADC_T1,SUP_T1,TOP_T2,JG_T2,MID_T2,ADC_T2,SUP_T2
0,1,Riven,Nidalee,Galio,Jhin,Pantheon,Camille,Olaf,Cassiopeia,Ezreal,Alistar
1,0,Teemo,Nidalee,Lucian,Caitlyn,Senna,Irelia,Hecarim,Cassiopeia,Jinx,Lulu
2,0,Malphite,Olaf,Taliyah,Ezreal,Alistar,Sylas,Lillia,Lucian,Senna,Pantheon
3,0,Neeko,Shen,Orianna,Kai'Sa,Nautilus,Riven,Hecarim,Cassiopeia,Samira,Morgana
4,0,Fiora,Nunu & Willump,Irelia,Jhin,Karma,Renekton,Elise,Kled,Jinx,Morgana
5,0,Irelia,Karthus,Sylas,Samira,Nautilus,Riven,Kayn,Akali,Miss Fortune,Galio
6,0,Galio,Kindred,Syndra,Ezreal,Blitzcrank,Camille,Fiddlesticks,Twisted Fate,Jhin,Morgana
7,0,Poppy,Ekko,Sylas,Samira,Blitzcrank,Lucian,Lillia,Lulu,Caitlyn,Alistar
8,0,Shen,Lillia,Samira,Lucian,Soraka,Taric,Master Yi,Riven,Ezreal,Lulu
9,0,Ornn,Graves,Sylas,Lucian,Alistar,Irelia,Hecarim,Akali,Senna,Leona
10,1,Tryndamere,Gragas,Yasuo,Senna,Janna,Jax,Nidalee,Lillia,Ashe,Lulu
11,1,Qiyana,Fiddlesticks,Talon,Senna,Leona,Wukong,Nidalee,Akali,Jhin,Pantheon
12,1,Jax,Qiyana,Sylas,Syndra,Alistar,Veigar,Nidalee,Sett,Ashe,Leona
13,1,Fiora,Lee Sin,Aurelion Sol,Ezreal,Karma,Renekton,Nidalee,Qiyana,Samira,Pantheon
14,0,Fiora,Shaco,Ekko,Jhin,Thresh,Camille,Sylas,Cassiopeia,Ezreal,Karma
15,1,Lucian,Nidalee,Talon,Karthus,Karma,Zoe,Kha'Zix,Annie,Caitlyn,Lux
16,0,Jayce,Ekko,Qiyana,Jhin,Thresh,Darius,Kha'Zix,Akali,Draven,Karma
17,1,Shen,Kindred,Lulu,Ezreal,Alistar,Darius,Nidalee,Cassiopeia,Senna,Pantheon
18,0,Vladimir,Dr. Mundo,Yone,Aphelios,Pantheon,Irelia,Lee Sin,Ahri,Lucian,Nami
19,1,Renekton,Fiddlesticks,Taliyah,Ezreal,Karma,Camille,Graves,Sylas,Ashe,Janna
20,1,Urgot,Rengar,Neeko,Jhin,Karma,Renekton,Lee Sin,Ahri,Veigar,Janna
21,0,Camille,Hecarim,Orianna,Senna,Gragas,Jax,Lee Sin,LeBlanc,Ezreal,Taric
22,0,Malphite,Hecarim,Annie,Caitlyn,Karma,Lucian,Nidalee,Mordekaiser,Aphelios,Rakan
23,1,Sett,Graves,Twisted Fate,Aphelios,Rakan,Akali,Lillia,Gangplank,Ashe,Karma
24,0,Jax,Karthus,Sett,Samira,Thresh,Singed,Hecarim,LeBlanc,Senna,Rakan
25,1,Shen,Lee Sin,Kassadin,Samira,Pantheon,Gangplank,Nidalee,Yasuo,Miss Fortune,Braum
26,1,Camille,Graves,Yasuo,Taliyah,Thresh,Jax,Hecarim,Ahri,Jhin,Pantheon
27,1,Malphite,Graves,Akali,Senna,Alistar,Jax,Ivern,Sylas,Samira,Pantheon
28,0,Camille,Kha'Zix,Orianna,Ashe,Janna,Shen,Lee Sin,Sylas,Jhin,Rakan
29,0,Malphite,Fiddlesticks,Talon,Ashe,Pantheon,Tryndamere,Elise,Akali,Draven,Leona
